0;0;0;0;land;false;plains;0;
1;167;212;122;land;false;plains;1;
2;235;84;226;land;false;plains;1;
3;197;222;241;land;false;plains;1;
4;237;213;221;land;false;plains;1;
5;215;105;248;land;false;plains;1;
6;228;185;127;land;false;plains;1;
7;250;204;186;land;true;plains;1;
8;243;252;90;land;false;plains;1;
9;131;252;177;land;false;plains;1;
10;190;238;136;land;false;plains;1;
11;250;165;199;land;false;plains;1;
12;224;226;123;land;true;plains;1;
13;142;127;236;land;false;plains;1;
14;203;215;135;land;false;plains;1;
15;145;224;175;land;false;plains;1;
16;175;134;215;land;false;plains;1;
17;120;188;202;land;false;plains;1;
18;144;178;230;land;false;plains;1;
19;229;90;201;land;false;urban;1;
20;246;208;226;land;true;plains;1;
21;158;230;169;land;false;plains;1;
22;180;216;135;land;false;plains;1;
23;237;77;245;land;false;plains;1;
24;196;239;148;land;false;plains;1;
25;202;240;80;land;false;plains;1;
26;233;75;231;land;false;plains;1;
27;166;188;174;land;false;plains;1;
28;252;33;219;land;false;plains;1;
29;108;191;216;land;false;plains;1;
30;160;229;239;land;false;plains;1;
31;204;220;138;land;false;plains;1;
32;241;180;179;land;false;plains;1;
33;227;138;232;land;false;plains;1;
34;230;212;101;land;false;plains;1;
35;212;214;175;land;false;plains;1;
36;161;188;186;land;false;plains;1;
37;220;95;200;land;false;plains;1;
38;192;124;196;land;false;plains;1;
39;204;134;221;land;false;plains;1;
40;218;68;233;land;false;plains;1;
41;201;128;240;land;false;plains;1;
42;217;194;150;land;true;plains;1;
43;156;159;186;land;false;plains;1;
44;207;100;208;land;false;plains;1;
45;211;122;179;land;false;plains;1;
46;201;227;118;land;false;plains;1;
47;181;144;190;land;false;plains;1;
48;222;84;195;land;false;plains;1;
49;112;230;185;land;false;plains;1;
50;202;208;219;land;false;plains;1;
51;241;151;183;land;false;plains;1;
52;184;131;203;land;false;plains;1;
53;202;169;135;land;false;plains;1;
54;227;239;237;land;false;plains;1;
55;209;240;200;land;false;plains;1;
56;209;182;215;land;false;plains;1;
57;220;142;222;land;false;plains;1;
58;181;197;150;land;false;plains;1;
59;167;245;160;land;false;plains;1;
60;166;204;222;land;false;plains;1;
61;57;203;246;land;false;plains;1;
62;159;209;178;land;false;plains;1;
63;155;173;212;land;false;plains;1;
64;155;155;194;land;false;plains;1;
65;69;207;231;land;false;plains;1;
66;215;169;130;land;false;plains;1;
67;170;250;232;land;true;plains;1;
68;212;232;114;land;false;plains;1;
69;250;100;239;land;false;plains;1;
70;115;228;246;land;false;plains;1;
71;182;237;161;land;false;plains;1;
72;215;135;176;land;false;urban;1;
73;229;146;132;land;false;plains;1;
74;145;199;205;land;false;plains;1;
75;204;195;180;land;false;plains;1;
76;249;162;98;land;false;plains;1;
77;244;173;186;land;false;plains;1;
78;161;208;146;land;false;plains;1;
79;254;232;98;land;false;plains;1;
80;169;236;117;land;false;plains;1;
81;163;188;151;land;false;plains;1;
82;242;158;115;land;false;plains;1;
83;249;135;223;land;false;plains;1;
84;208;207;216;land;false;plains;1;
85;30;247;243;land;false;hills;1;
86;244;254;50;land;false;plains;1;
87;143;201;236;land;true;plains;1;
88;198;195;170;land;false;plains;1;
89;225;240;214;land;false;plains;1;
90;227;251;223;land;false;plains;1;
91;235;209;73;land;false;plains;1;
92;186;210;106;land;false;plains;1;
93;207;74;230;land;false;plains;1;
94;175;213;145;land;false;plains;1;
95;136;244;219;land;false;plains;1;
96;127;156;234;land;true;plains;1;
97;113;242;238;land;false;plains;1;
98;165;251;213;land;false;plains;1;
99;112;213;198;land;false;plains;1;
100;209;155;171;land;false;plains;1;
101;120;211;230;land;false;plains;1;
102;240;211;253;land;false;plains;1;
103;243;122;234;land;false;plains;1;
104;206;253;185;land;false;plains;1;
105;167;219;124;land;false;plains;1;
106;143;226;206;land;false;plains;1;
107;146;138;217;land;false;plains;1;
108;226;83;196;land;false;plains;1;
109;217;173;169;land;false;plains;1;
110;173;210;240;land;false;plains;1;
